TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 235.0, 0.0, 120.0, 115.0, 0.0, 120.0, 115.0, 1.0E-5, 0.01, 0.2
100.0, 9937.0, 1.0, 4711.0, 5225.0, 0.0, 4711.0, 5226.0, 1.0E-5, 0.01, 0.2
200.0, 9939.0, 12.0, 4670.0, 5257.0, 8.0, 4670.0, 5261.0, 1.0E-5, 0.01, 0.2
300.0, 9936.0, 19.0, 4580.0, 5337.0, 13.0, 4583.0, 5340.0, 1.0E-5, 0.01, 0.2
400.0, 9932.0, 37.0, 4580.0, 5315.0, 23.0, 4590.0, 5319.0, 1.0E-5, 0.01, 0.2
500.0, 9933.0, 52.0, 4528.0, 5353.0, 28.0, 4538.0, 5367.0, 1.0E-5, 0.01, 0.2
600.0, 9940.0, 44.0, 4564.0, 5332.0, 24.0, 4570.0, 5346.0, 1.0E-5, 0.01, 0.2
700.0, 9922.0, 55.0, 4562.0, 5305.0, 25.0, 4566.0, 5331.0, 1.0E-5, 0.01, 0.2
800.0, 9941.0, 56.0, 4608.0, 5277.0, 24.0, 4615.0, 5302.0, 1.0E-5, 0.01, 0.2
900.0, 9941.0, 73.0, 4571.0, 5297.0, 26.0, 4585.0, 5330.0, 1.0E-5, 0.01, 0.2
1000.0, 9940.0, 79.0, 4653.0, 5208.0, 29.0, 4665.0, 5246.0, 1.0E-5, 0.01, 0.2
1100.0, 9929.0, 106.0, 4671.0, 5152.0, 32.0, 4694.0, 5203.0, 1.0E-5, 0.01, 0.2
1200.0, 9935.0, 120.0, 4690.0, 5125.0, 34.0, 4714.0, 5187.0, 1.0E-5, 0.01, 0.2
1300.0, 9943.0, 125.0, 4754.0, 5064.0, 38.0, 4774.0, 5131.0, 1.0E-5, 0.01, 0.2
1400.0, 9949.0, 140.0, 4792.0, 5017.0, 37.0, 4813.0, 5099.0, 1.0E-5, 0.01, 0.2
1500.0, 9937.0, 143.0, 4764.0, 5030.0, 32.0, 4800.0, 5105.0, 1.0E-5, 0.01, 0.2
1600.0, 9926.0, 161.0, 4805.0, 4960.0, 29.0, 4853.0, 5044.0, 1.0E-5, 0.01, 0.2
1700.0, 9944.0, 173.0, 4808.0, 4963.0, 35.0, 4854.0, 5055.0, 1.0E-5, 0.01, 0.2
1800.0, 9928.0, 179.0, 4716.0, 5033.0, 28.0, 4781.0, 5119.0, 1.0E-5, 0.01, 0.2
1900.0, 9939.0, 190.0, 4763.0, 4986.0, 32.0, 4824.0, 5083.0, 1.0E-5, 0.01, 0.2
2000.0, 9945.0, 200.0, 4779.0, 4966.0, 39.0, 4836.0, 5070.0, 1.0E-5, 0.01, 0.2
2100.0, 9937.0, 199.0, 4750.0, 4988.0, 32.0, 4810.0, 5095.0, 1.0E-5, 0.01, 0.2
2200.0, 9941.0, 186.0, 4749.0, 5006.0, 22.0, 4802.0, 5117.0, 1.0E-5, 0.01, 0.2
2300.0, 9946.0, 219.0, 4757.0, 4970.0, 17.0, 4831.0, 5098.0, 1.0E-5, 0.01, 0.2
2400.0, 9931.0, 232.0, 4709.0, 4990.0, 14.0, 4780.0, 5137.0, 1.0E-5, 0.01, 0.2
2500.0, 9937.0, 227.0, 4647.0, 5063.0, 23.0, 4716.0, 5198.0, 1.0E-5, 0.01, 0.2
2600.0, 9950.0, 246.0, 4707.0, 4997.0, 19.0, 4781.0, 5150.0, 1.0E-5, 0.01, 0.2
2700.0, 9928.0, 227.0, 4768.0, 4933.0, 16.0, 4832.0, 5080.0, 1.0E-5, 0.01, 0.2
2800.0, 9930.0, 233.0, 4750.0, 4947.0, 9.0, 4829.0, 5092.0, 1.0E-5, 0.01, 0.2
2900.0, 9943.0, 240.0, 4675.0, 5028.0, 17.0, 4752.0, 5174.0, 1.0E-5, 0.01, 0.2
3000.0, 9941.0, 268.0, 4633.0, 5040.0, 25.0, 4720.0, 5196.0, 1.0E-5, 0.01, 0.2
3100.0, 9949.0, 280.0, 4604.0, 5065.0, 32.0, 4693.0, 5224.0, 1.0E-5, 0.01, 0.2
3200.0, 9940.0, 270.0, 4604.0, 5066.0, 20.0, 4693.0, 5227.0, 1.0E-5, 0.01, 0.2
3300.0, 9946.0, 247.0, 4571.0, 5128.0, 17.0, 4626.0, 5303.0, 1.0E-5, 0.01, 0.2
3400.0, 9960.0, 258.0, 4491.0, 5211.0, 15.0, 4542.0, 5403.0, 1.0E-5, 0.01, 0.2
3500.0, 9937.0, 277.0, 4535.0, 5125.0, 21.0, 4574.0, 5342.0, 1.0E-5, 0.01, 0.2
3600.0, 9943.0, 289.0, 4465.0, 5189.0, 29.0, 4504.0, 5410.0, 1.0E-5, 0.01, 0.2
3700.0, 9941.0, 291.0, 4512.0, 5138.0, 26.0, 4570.0, 5345.0, 1.0E-5, 0.01, 0.2
3800.0, 9947.0, 333.0, 4405.0, 5209.0, 29.0, 4475.0, 5443.0, 1.0E-5, 0.01, 0.2
3900.0, 9926.0, 334.0, 4327.0, 5265.0, 30.0, 4403.0, 5493.0, 1.0E-5, 0.01, 0.2
4000.0, 9958.0, 378.0, 4288.0, 5292.0, 34.0, 4380.0, 5544.0, 1.0E-5, 0.01, 0.2
4100.0, 9940.0, 398.0, 4292.0, 5250.0, 27.0, 4400.0, 5513.0, 1.0E-5, 0.01, 0.2
4200.0, 9948.0, 409.0, 4245.0, 5294.0, 33.0, 4356.0, 5559.0, 1.0E-5, 0.01, 0.2
4300.0, 9938.0, 396.0, 4218.0, 5324.0, 48.0, 4323.0, 5567.0, 1.0E-5, 0.01, 0.2
4400.0, 9938.0, 419.0, 4190.0, 5329.0, 44.0, 4312.0, 5582.0, 1.0E-5, 0.01, 0.2
4500.0, 9941.0, 448.0, 4150.0, 5343.0, 34.0, 4291.0, 5616.0, 1.0E-5, 0.01, 0.2
4600.0, 9953.0, 471.0, 4159.0, 5323.0, 39.0, 4298.0, 5616.0, 1.0E-5, 0.01, 0.2
4700.0, 9953.0, 488.0, 4244.0, 5221.0, 52.0, 4381.0, 5520.0, 1.0E-5, 0.01, 0.2
