TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 233.0, 0.0, 113.0, 120.0, 0.0, 113.0, 120.0, 1.0E-5, 0.01, 0.2
100.0, 9926.0, 6.0, 4832.0, 5088.0, 0.0, 4834.0, 5092.0, 1.0E-5, 0.01, 0.2
200.0, 9945.0, 22.0, 4865.0, 5058.0, 0.0, 4872.0, 5073.0, 1.0E-5, 0.01, 0.2
300.0, 9933.0, 45.0, 4797.0, 5091.0, 2.0, 4805.0, 5126.0, 1.0E-5, 0.01, 0.2
400.0, 9944.0, 58.0, 4797.0, 5089.0, 3.0, 4818.0, 5123.0, 1.0E-5, 0.01, 0.2
500.0, 9935.0, 52.0, 4822.0, 5061.0, 2.0, 4846.0, 5087.0, 1.0E-5, 0.01, 0.2
600.0, 9935.0, 70.0, 4817.0, 5048.0, 6.0, 4848.0, 5081.0, 1.0E-5, 0.01, 0.2
700.0, 9940.0, 66.0, 4792.0, 5082.0, 11.0, 4821.0, 5108.0, 1.0E-5, 0.01, 0.2
800.0, 9922.0, 62.0, 4772.0, 5088.0, 11.0, 4802.0, 5109.0, 1.0E-5, 0.01, 0.2
900.0, 9927.0, 91.0, 4772.0, 5064.0, 19.0, 4802.0, 5106.0, 1.0E-5, 0.01, 0.2
1000.0, 9933.0, 109.0, 4847.0, 4977.0, 18.0, 4884.0, 5031.0, 1.0E-5, 0.01, 0.2
1100.0, 9937.0, 118.0, 4842.0, 4977.0, 30.0, 4873.0, 5034.0, 1.0E-5, 0.01, 0.2
1200.0, 9930.0, 112.0, 4833.0, 4985.0, 26.0, 4858.0, 5046.0, 1.0E-5, 0.01, 0.2
1300.0, 9949.0, 136.0, 4852.0, 4961.0, 38.0, 4874.0, 5037.0, 1.0E-5, 0.01, 0.2
1400.0, 9937.0, 178.0, 4876.0, 4883.0, 50.0, 4905.0, 4982.0, 1.0E-5, 0.01, 0.2
1500.0, 9937.0, 180.0, 4798.0, 4959.0, 57.0, 4821.0, 5059.0, 1.0E-5, 0.01, 0.2
1600.0, 9937.0, 201.0, 4772.0, 4964.0, 78.0, 4804.0, 5055.0, 1.0E-5, 0.01, 0.2
1700.0, 9937.0, 205.0, 4817.0, 4915.0, 86.0, 4852.0, 4999.0, 1.0E-5, 0.01, 0.2
1800.0, 9947.0, 232.0, 4837.0, 4878.0, 93.0, 4890.0, 4964.0, 1.0E-5, 0.01, 0.2
1900.0, 9935.0, 267.0, 4754.0, 4914.0, 83.0, 4837.0, 5015.0, 1.0E-5, 0.01, 0.2
2000.0, 9943.0, 273.0, 4789.0, 4881.0, 87.0, 4873.0, 4983.0, 1.0E-5, 0.01, 0.2
2100.0, 9944.0, 306.0, 4698.0, 4940.0, 86.0, 4808.0, 5050.0, 1.0E-5, 0.01, 0.2
2200.0, 9948.0, 316.0, 4691.0, 4941.0, 90.0, 4805.0, 5053.0, 1.0E-5, 0.01, 0.2
2300.0, 9938.0, 307.0, 4742.0, 4889.0, 85.0, 4847.0, 5006.0, 1.0E-5, 0.01, 0.2
2400.0, 9943.0, 322.0, 4790.0, 4831.0, 96.0, 4905.0, 4942.0, 1.0E-5, 0.01, 0.2
2500.0, 9934.0, 305.0, 4839.0, 4790.0, 72.0, 4960.0, 4902.0, 1.0E-5, 0.01, 0.2
2600.0, 9942.0, 336.0, 4853.0, 4753.0, 80.0, 4983.0, 4879.0, 1.0E-5, 0.01, 0.2
2700.0, 9929.0, 331.0, 4831.0, 4767.0, 81.0, 4955.0, 4893.0, 1.0E-5, 0.01, 0.2
2800.0, 9952.0, 348.0, 4818.0, 4786.0, 94.0, 4942.0, 4916.0, 1.0E-5, 0.01, 0.2
2900.0, 9918.0, 340.0, 4860.0, 4718.0, 75.0, 5009.0, 4834.0, 1.0E-5, 0.01, 0.2
3000.0, 9951.0, 384.0, 4872.0, 4695.0, 83.0, 5045.0, 4823.0, 1.0E-5, 0.01, 0.2
3100.0, 9931.0, 401.0, 4754.0, 4776.0, 80.0, 4927.0, 4924.0, 1.0E-5, 0.01, 0.2
3200.0, 9942.0, 438.0, 4701.0, 4803.0, 86.0, 4901.0, 4955.0, 1.0E-5, 0.01, 0.2
3300.0, 9931.0, 485.0, 4665.0, 4781.0, 75.0, 4912.0, 4944.0, 1.0E-5, 0.01, 0.2
3400.0, 9924.0, 497.0, 4638.0, 4789.0, 79.0, 4888.0, 4957.0, 1.0E-5, 0.01, 0.2
3500.0, 9941.0, 552.0, 4654.0, 4735.0, 66.0, 4945.0, 4930.0, 1.0E-5, 0.01, 0.2
3600.0, 9935.0, 558.0, 4712.0, 4665.0, 64.0, 5003.0, 4868.0, 1.0E-5, 0.01, 0.2
3700.0, 9949.0, 617.0, 4657.0, 4675.0, 74.0, 4962.0, 4913.0, 1.0E-5, 0.01, 0.2
3800.0, 9939.0, 636.0, 4671.0, 4632.0, 64.0, 4973.0, 4902.0, 1.0E-5, 0.01, 0.2
3900.0, 9950.0, 684.0, 4728.0, 4538.0, 65.0, 5058.0, 4827.0, 1.0E-5, 0.01, 0.2
4000.0, 9940.0, 670.0, 4761.0, 4509.0, 58.0, 5083.0, 4799.0, 1.0E-5, 0.01, 0.2
4100.0, 9938.0, 650.0, 4810.0, 4478.0, 45.0, 5152.0, 4741.0, 1.0E-5, 0.01, 0.2
4200.0, 9951.0, 672.0, 4784.0, 4495.0, 42.0, 5150.0, 4759.0, 1.0E-5, 0.01, 0.2
4300.0, 9944.0, 619.0, 4822.0, 4503.0, 41.0, 5139.0, 4764.0, 1.0E-5, 0.01, 0.2
4400.0, 9941.0, 651.0, 4820.0, 4470.0, 49.0, 5151.0, 4741.0, 1.0E-5, 0.01, 0.2
4500.0, 9940.0, 671.0, 4823.0, 4446.0, 48.0, 5158.0, 4734.0, 1.0E-5, 0.01, 0.2
4600.0, 9953.0, 690.0, 4771.0, 4492.0, 57.0, 5116.0, 4780.0, 1.0E-5, 0.01, 0.2
4700.0, 9944.0, 671.0, 4789.0, 4484.0, 54.0, 5120.0, 4770.0, 1.0E-5, 0.01, 0.2
