TIdx,Pop,n_fused,n_parental,n_resistant,n_yellow,n_green,n_red, fuseProb, dieProb, birthProb

0.0, 241.0, 0.0, 119.0, 122.0, 0.0, 119.0, 122.0, 0.001, 0.01, 0.2
10.0, 1440.0, 14.0, 719.0, 707.0, 1.0, 726.0, 713.0, 0.001, 0.01, 0.2
20.0, 4924.0, 103.0, 2368.0, 2453.0, 8.0, 2414.0, 2502.0, 0.001, 0.01, 0.2
30.0, 8118.0, 267.0, 3769.0, 4082.0, 15.0, 3902.0, 4201.0, 0.001, 0.01, 0.2
40.0, 9450.0, 403.0, 4433.0, 4614.0, 29.0, 4634.0, 4787.0, 0.001, 0.01, 0.2
50.0, 9857.0, 541.0, 4598.0, 4718.0, 38.0, 4865.0, 4954.0, 0.001, 0.01, 0.2
60.0, 9909.0, 645.0, 4595.0, 4669.0, 51.0, 4899.0, 4959.0, 0.001, 0.01, 0.2
70.0, 9935.0, 746.0, 4564.0, 4625.0, 65.0, 4913.0, 4957.0, 0.001, 0.01, 0.2
80.0, 9930.0, 850.0, 4509.0, 4571.0, 78.0, 4897.0, 4955.0, 0.001, 0.01, 0.2
90.0, 9932.0, 943.0, 4456.0, 4533.0, 97.0, 4878.0, 4957.0, 0.001, 0.01, 0.2
100.0, 9942.0, 1060.0, 4400.0, 4482.0, 106.0, 4884.0, 4952.0, 0.001, 0.01, 0.2
110.0, 9924.0, 1171.0, 4347.0, 4406.0, 113.0, 4881.0, 4930.0, 0.001, 0.01, 0.2
120.0, 9939.0, 1263.0, 4299.0, 4377.0, 130.0, 4864.0, 4945.0, 0.001, 0.01, 0.2
130.0, 9923.0, 1361.0, 4247.0, 4315.0, 146.0, 4852.0, 4925.0, 0.001, 0.01, 0.2
140.0, 9922.0, 1491.0, 4159.0, 4272.0, 166.0, 4815.0, 4941.0, 0.001, 0.01, 0.2
150.0, 9938.0, 1602.0, 4133.0, 4203.0, 176.0, 4834.0, 4928.0, 0.001, 0.01, 0.2
160.0, 9930.0, 1691.0, 4082.0, 4157.0, 179.0, 4823.0, 4928.0, 0.001, 0.01, 0.2
170.0, 9921.0, 1825.0, 4017.0, 4079.0, 208.0, 4790.0, 4923.0, 0.001, 0.01, 0.2
180.0, 9933.0, 1926.0, 3975.0, 4032.0, 221.0, 4783.0, 4929.0, 0.001, 0.01, 0.2
190.0, 9936.0, 2038.0, 3956.0, 3942.0, 233.0, 4812.0, 4891.0, 0.001, 0.01, 0.2
